Datetime,T_Outdoor(C),H_Outdoor(g/m3),CO2_Outdoor(g/m3),Radiation_Outdoor(w/m2)
2023-07-01T00:00:00,21.80,16.69,0.76,0.00
2023-07-01T00:05:00,21.75,16.69,0.76,0.00
2023-07-01T00:10:00,21.70,16.69,0.76,0.00
2023-07-01T00:15:00,21.65,16.69,0.76,0.00
2023-07-01T00:20:00,21.60,16.69,0.76,0.00
2023-07-01T00:25:00,21.55,16.69,0.76,0.00
2023-07-01T00:30:00,21.50,16.69,0.76,0.00
2023-07-01T00:35:00,21.45,16.69,0.76,0.00
2023-07-01T00:40:00,21.40,16.68,0.76,0.00
2023-07-01T00:45:00,21.35,16.68,0.76,0.00
2023-07-01T00:50:00,21.30,16.68,0.76,0.00
2023-07-01T00:55:00,21.25,16.68,0.76,0.00
2023-07-01T01:00:00,21.20,16.68,0.76,0.00
2023-07-01T01:05:00,21.15,16.67,0.76,0.00
2023-07-01T01:10:00,21.10,16.67,0.76,0.00
2023-07-01T01:15:00,21.05,16.67,0.76,0.00
2023-07-01T01:20:00,21.00,16.67,0.76,0.00
2023-07-01T01:25:00,20.95,16.66,0.76,0.00
2023-07-01T01:30:00,20.90,16.66,0.76,0.00
2023-07-01T01:35:00,20.85,16.66,0.76,0.00
2023-07-01T01:40:00,20.80,16.66,0.76,0.00
2023-07-01T01:45:00,20.75,16.65,0.76,0.00
2023-07-01T01:50:00,20.70,16.65,0.76,0.00
2023-07-01T01:55:00,20.65,16.65,0.76,0.00
2023-07-01T02:00:00,20.60,16.64,0.76,0.00
2023-07-01T02:05:00,20.55,16.64,0.76,0.00
2023-07-01T02:10:00,20.50,16.63,0.76,0.00
2023-07-01T02:15:00,20.45,16.63,0.76,0.00
2023-07-01T02:20:00,20.40,16.63,0.76,0.00
2023-07-01T02:25:00,20.35,16.62,0.76,0.00
2023-07-01T02:30:00,20.30,16.62,0.76,0.00
2023-07-01T02:35:00,20.25,16.61,0.76,0.00
2023-07-01T02:40:00,20.20,16.61,0.76,0.00
2023-07-01T02:45:00,20.15,16.60,0.76,0.00
2023-07-01T02:50:00,20.10,16.60,0.76,0.00
2023-07-01T02:55:00,20.05,16.59,0.76,0.00
2023-07-01T03:00:00,20.00,16.59,0.76,0.00
2023-07-01T03:05:00,20.03,16.61,0.76,0.00
2023-07-01T03:10:00,20.07,16.62,0.76,0.00
2023-07-01T03:15:00,20.10,16.64,0.76,0.00
2023-07-01T03:20:00,20.13,16.66,0.76,0.00
2023-07-01T03:25:00,20.17,16.68,0.76,0.00
2023-07-01T03:30:00,20.20,16.69,0.76,0.00
2023-07-01T03:35:00,20.23,16.71,0.76,0.00
2023-07-01T03:40:00,20.27,16.73,0.76,0.00
2023-07-01T03:45:00,20.30,16.75,0.76,0.00
2023-07-01T03:50:00,20.33,16.77,0.76,0.00
2023-07-01T03:55:00,20.37,16.78,0.76,0.00
2023-07-01T04:00:00,20.40,16.80,0.76,0.00
2023-07-01T04:05:00,20.45,16.82,0.76,0.00
