Datetime,T_Outdoor(C),H_Outdoor(g/m3),CO2_Outdoor(g/m3),Radiation_Outdoor(w/m2)
2025-01-01T00:00:00,5.00,5.78,0.80,0.00
2025-01-01T00:05:00,4.98,5.81,0.80,0.00
2025-01-01T00:10:00,4.97,5.84,0.80,0.00
2025-01-01T00:15:00,4.95,5.87,0.80,0.00
2025-01-01T00:20:00,4.93,5.91,0.80,0.00
2025-01-01T00:25:00,4.92,5.94,0.80,0.00
2025-01-01T00:30:00,4.90,5.97,0.80,0.00
2025-01-01T00:35:00,4.88,6.01,0.80,0.00
2025-01-01T00:40:00,4.87,6.04,0.80,0.00
2025-01-01T00:45:00,4.85,6.07,0.80,0.00
2025-01-01T00:50:00,4.83,6.10,0.80,0.00
2025-01-01T00:55:00,4.82,6.14,0.80,0.00
2025-01-01T01:00:00,4.80,6.17,0.80,0.00
2025-01-01T01:05:00,4.77,6.19,0.80,0.00
2025-01-01T01:10:00,4.75,6.20,0.80,0.00
2025-01-01T01:15:00,4.72,6.22,0.80,0.00
2025-01-01T01:20:00,4.70,6.24,0.80,0.00
2025-01-01T01:25:00,4.67,6.26,0.80,0.00
2025-01-01T01:30:00,4.65,6.27,0.80,0.00
2025-01-01T01:35:00,4.62,6.29,0.80,0.00
2025-01-01T01:40:00,4.60,6.31,0.80,0.00
2025-01-01T01:45:00,4.58,6.33,0.80,0.00
2025-01-01T01:50:00,4.55,6.34,0.80,0.00
2025-01-01T01:55:00,4.53,6.36,0.80,0.00
2025-01-01T02:00:00,4.50,6.38,0.80,0.00
2025-01-01T02:05:00,4.50,6.38,0.80,0.00
2025-01-01T02:10:00,4.50,6.38,0.80,0.00
2025-01-01T02:15:00,4.50,6.38,0.80,0.00
2025-01-01T02:20:00,4.50,6.38,0.80,0.00
2025-01-01T02:25:00,4.50,6.38,0.80,0.00
2025-01-01T02:30:00,4.50,6.38,0.80,0.00
2025-01-01T02:35:00,4.50,6.38,0.80,0.00
2025-01-01T02:40:00,4.50,6.38,0.80,0.00
2025-01-01T02:45:00,4.50,6.38,0.80,0.00
2025-01-01T02:50:00,4.50,6.38,0.80,0.00
2025-01-01T02:55:00,4.50,6.38,0.80,0.00
2025-01-01T03:00:00,4.50,6.38,0.80,0.00
2025-01-01T03:05:00,4.47,6.37,0.80,0.00
2025-01-01T03:10:00,4.43,6.36,0.80,0.00
2025-01-01T03:15:00,4.40,6.35,0.80,0.00
2025-01-01T03:20:00,4.37,6.34,0.80,0.00
2025-01-01T03:25:00,4.33,6.33,0.80,0.00
2025-01-01T03:30:00,4.30,6.32,0.80,0.00
2025-01-01T03:35:00,4.27,6.32,0.80,0.00
2025-01-01T03:40:00,4.23,6.31,0.80,0.00
2025-01-01T03:45:00,4.20,6.30,0.80,0.00
2025-01-01T03:50:00,4.17,6.29,0.80,0.00
2025-01-01T03:55:00,4.13,6.28,0.80,0.00
2025-01-01T04:00:00,4.10,6.27,0.80,0.00
2025-01-01T04:05:00,4.08,6.27,0.80,0.00
2025-01-01T04:10:00,4.07,6.27,0.80,0.00
2025-01-01T04:15:00,4.05,6.27,0.80,0.00
2025-01-01T04:20:00,4.03,6.27,0.80,0.00
2025-01-01T04:25:00,4.02,6.26,0.80,0.00
2025-01-01T04:30:00,4.00,6.26,0.80,0.00
2025-01-01T04:35:00,3.98,6.26,0.80,0.00
2025-01-01T04:40:00,3.97,6.26,0.80,0.00
2025-01-01T04:45:00,3.95,6.26,0.80,0.00
2025-01-01T04:50:00,3.93,6.26,0.80,0.00
2025-01-01T04:55:00,3.92,6.25,0.80,0.00
2025-01-01T05:00:00,3.90,6.25,0.80,0.00
2025-01-01T05:05:00,3.88,6.24,0.80,0.00
2025-01-01T05:10:00,3.85,6.22,0.80,0.00
2025-01-01T05:15:00,3.83,6.21,0.80,0.00
2025-01-01T05:20:00,3.80,6.19,0.80,0.00
2025-01-01T05:25:00,3.77,6.18,0.80,0.00
2025-01-01T05:30:00,3.75,6.16,0.80,0.00
2025-01-01T05:35:00,3.73,6.14,0.80,0.00
2025-01-01T05:40:00,3.70,6.13,0.80,0.00
2025-01-01T05:45:00,3.67,6.11,0.80,0.00
2025-01-01T05:50:00,3.65,6.10,0.80,0.00
2025-01-01T05:55:00,3.62,6.08,0.80,0.00
2025-01-01T06:00:00,3.60,6.07,0.80,0.00
2025-01-01T06:05:00,3.59,6.06,0.80,0.00
2025-01-01T06:10:00,3.58,6.06,0.80,0.00
2025-01-01T06:15:00,3.58,6.06,0.80,0.00
2025-01-01T06:20:00,3.57,6.05,0.80,0.00
2025-01-01T06:25:00,3.56,6.05,0.80,0.00
2025-01-01T06:30:00,3.55,6.05,0.80,0.00
2025-01-01T06:35:00,3.54,6.04,0.80,0.00
2025-01-01T06:40:00,3.53,6.04,0.80,0.00
2025-01-01T06:45:00,3.52,6.04,0.80,0.00
